whole_person_model_version,assessment_subdimension_key,subdimension_name
WPM 1.0,inspire,Inspire
WPM 1.0,recognizing,Recognizing
WPM 1.0,positive_relationships,Positive Relationships
WPM 1.0,problem_solving,Problem Solving
WPM 1.0,feedback,Feedback
WPM 1.0,alignment,Alignment
WPM 1.0,influence,Influence
WPM 1.0,open_communication,Open Communication
WPM 1.0,engagement,Engagement
WPM 1.0,participation,Participation
WPM 1.0,ownership,Ownership
WPM 1.0,trust_climate,Trust Climate
WPM 1.0,coaching,Coaching
WPM 1.0,burnout,Burnout
WPM 2.0,team_innovation,Team Innovation
WPM 2.0,coaching,Coaching
WPM 2.0,team_engagement,Team Engagement
WPM 2.0,resilience,Resilience
WPM 2.0,workgroup_conflict,Team Conflict
WPM 2.0,recognizing,Recognizing
WPM 2.0,network_leadership,Network Leadership
WPM 2.0,cognitive_thriving,Cognitive Thriving
WPM 2.0,positive_relationships,Positive Relationships
WPM 2.0,includes_inspiring,Including Others
WPM 2.0,team_agility,Team Agility
WPM 2.0,job_performance,Job Performance
WPM 2.0,experienced_stress,Stress
WPM 2.0,manager_nps	Manager,NPS
WPM 2.0,job_satisfaction,Job Satisfaction
WPM 2.0,alignment,Alignment
WPM 2.0,engagement,Engagement
WPM 2.0,focus,Focus
WPM 2.0,leader_communication_effectiveness,Communication Effectiveness
WPM 2.0,recognition,Recognition
WPM 2.0,relationship_building,Relationship Building
WPM 2.0,influence,Influence
WPM 2.0,encouraging_participation,Encouraging Participation
WPM 2.0,psychological_safety,Psychological Safety
WPM 2.0,work_life_balance,Work Life Balance
WPM 2.0,empathy,Empathy
WPM 2.0,engagement_direct_report,Direct Report Engagement
WPM 2.0,empowerment,Empower
WPM 2.0,inclusion,Inclusion
WPM 2.0,self_efficacy,Self-Efficacy
WPM 2.0,emotional_regulation,Emotional Regulation
WPM 2.0,leads_inspiring,Leading Others
WPM 2.0,organization_nps,Organization NPS
WPM 2.0,team_performance,Team Performance
WPM 2.0,ownership,Ownership
WPM 2.0,participation,Participation
WPM 2.0,feedback,Feedback
WPM 2.0,leader_executive_presence,Executive Presence
WPM 2.0,ethical_decision_making,Ethical Decision Making
WPM 2.0,elevates_inspiring,Elevates Others
WPM 2.0,trust_climate,Trust Climate
WPM 2.0,coordination_and_collaboration,Collaboration
WPM 2.0,social_thriving,Social Thriving
WPM 2.0,quality_decision_making,Quality Decision Making
WPM 2.0,purpose_and_meaning,Purpose and Meaning
WPM 2.0,authenticity,Authenticity
WPM 2.0,self_compassion,Self-Compassion
WPM 2.0,coaching_culture,Coaching Culture
WPM 2.0,sense_of_belonging_at_work,Belonging
WPM 2.0,perceived_organizational_support,Organizational Support
WPM 2.0,cognitive_agility,Cognitive Agility
WPM 2.0,emotional_thriving,Emotional Thriving
WPM 2.0,burnout,Burnout
WPM 2.0,turnover_intentions,Turnover Intentions
WPM 2.0,risk_taking,Team Risk Taking
WPM 2.0,resilience_direct_report,Direct Report Resilience
WPM 2.0,inspire,Inspiring
WPM 2.0,social_connection,Social Connection
WPM 2.0,strategic_planning,Strategic Planning
WPM 2.0,problem_solving,Problem Solving
WPM 2.0,open_communication,Open Communication
